Date,Open,High,Low,Close,Adj_Close,Volume
10-02-2020,1428,1445.5,1410.449951,1435.599976,1430.229736,6922631
11-02-2020,1447.400024,1466.199951,1445.050049,1452.75,1447.315552,6400245
12-02-2020,1456.150024,1474.849976,1455,1470.300049,1464.799927,6187091
13-02-2020,1477.75,1477.75,1462.599976,1474.150024,1468.635498,6201763
14-02-2020,1477.25,1501.449951,1453.099976,1487.599976,1482.035156,9704655
17-02-2020,1489,1506.150024,1474.300049,1478.25,1472.720215,6011340
18-02-2020,1475.900024,1475.900024,1457.400024,1467.400024,1461.910767,5086964
19-02-2020,1479.349976,1506.449951,1475.099976,1503.800049,1498.174683,6438918
20-02-2020,1497,1508,1483.800049,1485.949951,1480.391357,7722577
24-02-2020,1469.75,1477,1439.550049,1444.949951,1439.544678,9769743
25-02-2020,1451.400024,1451.400024,1410,1416.400024,1411.101563,12684109
26-02-2020,1410,1412.349976,1387.349976,1392,1386.792847,13423661
27-02-2020,1388,1393.800049,1369,1386.25,1381.064331,11454300
28-02-2020,1354.900024,1357,1325,1328.650024,1323.67981,17973847
02-03-2020,1355.099976,1369,1301.099976,1316.150024,1311.226563,13486634
03-03-2020,1329.699951,1353.900024,1322,1342.849976,1337.82666,12525809
04-03-2020,1352,1353.800049,1307.900024,1339.699951,1334.688477,10105782
05-03-2020,1352.199951,1357.949951,1306,1311.150024,1306.245239,13948324
06-03-2020,1270,1288.150024,1241.099976,1271,1266.245483,15422068
09-03-2020,1240.050049,1241,1095,1114.150024,1109.982178,40316138
11-03-2020,1108,1178.449951,1108,1153.550049,1149.234863,27237321
12-03-2020,1085,1101,1048.699951,1063,1059.02356,25587823
13-03-2020,998,1140,942.400024,1105.300049,1101.165405,33509107
16-03-2020,1060.550049,1079.699951,1005,1015.700012,1011.900513,17592794
17-03-2020,1047.25,1060,1003.200012,1008,1004.229309,20776373
18-03-2020,1025.300049,1035.900024,961,968.5,964.877075,20449241
19-03-2020,920.099976,967,892.200012,917.700012,914.26709,28071848
20-03-2020,939.5,1034.900024,930,1017.950012,1014.14209,28966278
23-03-2020,916.200012,950,875.650024,884.049988,880.74292,18593390
24-03-2020,930,970,895.799988,943.400024,939.870972,20908452
25-03-2020,963.799988,1151.550049,963.25,1082.25,1078.201538,33432712
26-03-2020,1095.800049,1116.900024,1042.349976,1066.199951,1062.211548,20912841
27-03-2020,1095,1107.300049,1046.199951,1065.599976,1061.61377,19044609
30-03-2020,1040.599976,1074.800049,1020,1030.449951,1026.595215,13820078
31-03-2020,1073.949951,1129.800049,1048,1113.75,1109.58374,20249183
01-04-2020,1122.25,1124.599976,1045.199951,1080.449951,1076.408203,19016959
03-04-2020,1134.449951,1134.449951,1056.300049,1077.449951,1073.419434,18911970
07-04-2020,1102.099976,1214,1100,1206.099976,1201.588257,24857792
08-04-2020,1180,1229,1160,1192.150024,1187.69043,22803609
09-04-2020,1214,1232.800049,1193,1219.949951,1215.386353,15101511
13-04-2020,1203.949951,1215,1180,1189.150024,1184.70166,10822858
15-04-2020,1197.050049,1236,1143,1149.849976,1145.548584,16147958
16-04-2020,1149.849976,1187.449951,1145,1168.050049,1163.680664,17123489
17-04-2020,1216,1230,1192.650024,1224,1219.421265,15209621
20-04-2020,1226,1257,1202,1243.800049,1239.147217,16472130
21-04-2020,1210,1252,1164,1237.349976,1232.721313,28057044
22-04-2020,1320,1384.900024,1300,1363.599976,1358.499023,65230035
23-04-2020,1367.349976,1385.849976,1353.300049,1370.900024,1365.771729,29928168
24-04-2020,1350.150024,1494.949951,1347.199951,1417,1411.699341,61711199
27-04-2020,1434,1475,1423,1429.75,1424.401611,26736415
28-04-2020,1450,1455.449951,1392.150024,1428.150024,1422.807617,35866256
29-04-2020,1444.900024,1453.650024,1420,1426.949951,1421.612061,17141303
30-04-2020,1440.300049,1480.910034,1424.550049,1452.22998,1446.797485,32926121
04-05-2020,1426.47998,1451.23999,1404.140015,1421.719971,1416.401611,24670336
05-05-2020,1440.050049,1465.109985,1433.609985,1446.930054,1441.517456,20723079
06-05-2020,1450.25,1471.01001,1431.930054,1447.030029,1441.616943,18685710
07-05-2020,1441.339966,1499.439941,1431.430054,1492.800049,1487.21582,23087436
08-05-2020,1530.48999,1565.060059,1522.670044,1547.130005,1541.342529,38887255
11-05-2020,1565.160034,1599.839966,1557.540039,1561.98999,1556.146973,30959745
12-05-2020,1550.109985,1553.619995,1451.23999,1465.359985,1459.878418,46465281
13-05-2020,1527,1527,1454,1496.449951,1490.852051,30657492
14-05-2020,1469,1496.699951,1430.050049,1435.949951,1430.578369,22736607
15-05-2020,1444,1466.699951,1415.099976,1459.400024,1453.940674,28683258
18-05-2020,1470,1482,1428,1440.75,1435.360474,28980385
19-05-2020,1457,1461.699951,1403.25,1408.900024,1403.629639,19528760
20-05-2020,1410,1446.849976,1393,1433.699951,1428.336792,25530626
21-05-2020,1435,1461.449951,1425,1441.25,1435.858643,18076017
22-05-2020,1451.800049,1458,1426.5,1431.550049,1426.194946,17458065
26-05-2020,1448.150024,1449.699951,1416.300049,1424.050049,1418.723022,15329472
27-05-2020,1431,1454,1412,1445.550049,1440.142578,16460756
28-05-2020,1455,1479.75,1449,1472.25,1466.742676,18518271
29-05-2020,1468,1472,1452.650024,1464.400024,1458.921997,18470390
01-06-2020,1480,1538.349976,1475.949951,1520.349976,1514.66272,18434012
02-06-2020,1526,1540,1520.800049,1535.699951,1529.9552,10224049
03-06-2020,1545,1560,1533.349976,1541.650024,1535.883057,11713461
04-06-2020,1544,1589.5,1541,1579.800049,1573.890381,15784379
05-06-2020,1595,1618,1573.699951,1581.699951,1575.783203,15264885
08-06-2020,1618.400024,1618.400024,1565,1569.5,1563.628784,14497996
09-06-2020,1560.300049,1583,1533,1537.150024,1531.399902,11933076
10-06-2020,1543.099976,1579.550049,1540.050049,1572.150024,1566.268921,10214213
11-06-2020,1566,1567.949951,1531,1537.699951,1531.947754,9408046
12-06-2020,1500,1593,1497,1588.800049,1582.856689,17790311
15-06-2020,1565,1626.949951,1561.099976,1614.550049,1608.510376,24509058
16-06-2020,1643,1648.550049,1585.300049,1617.699951,1611.648438,23622794
17-06-2020,1608.25,1635.449951,1602.099976,1615.349976,1609.307251,19282411
18-06-2020,1607,1665,1605.599976,1655.900024,1649.705688,18677617
19-06-2020,1670,1788.800049,1662,1759.400024,1752.818481,48828609
22-06-2020,1773.400024,1804.199951,1735,1746.150024,1739.618042,27781693
23-06-2020,1750,1763.75,1716.099976,1720.900024,1714.462524,17519493
24-06-2020,1735.900024,1772.699951,1711.699951,1727.849976,1721.386475,23807033
25-06-2020,1727,1749,1713.050049,1717.900024,1711.473755,18312025
26-06-2020,1728.800049,1752,1717,1741.650024,1735.134888,14270458
29-06-2020,1728.050049,1739.75,1715.550049,1723.150024,1716.704102,11824524
30-06-2020,1737,1741,1695.550049,1704.099976,1697.725342,13972563
01-07-2020,1720,1749,1708.050049,1737.599976,1731.099976,13136179
02-07-2020,1743,1767.599976,1735.050049,1760.349976,1760.349976,13286365
03-07-2020,1779.800049,1793,1768,1787.900024,1787.900024,13583909
06-07-2020,1805,1858,1792.099976,1851.800049,1851.800049,21697962
07-07-2020,1860,1864.349976,1806.300049,1823.449951,1823.449951,16239990
08-07-2020,1824.050049,1834.949951,1790,1798,1798,12093186
09-07-2020,1809,1835,1786.25,1824.25,1824.25,16807336
10-07-2020,1828.5,1884.599976,1824.25,1878.050049,1878.050049,20195218
13-07-2020,1903.349976,1947.699951,1900,1935,1935,32124262
14-07-2020,1934,1941.699951,1887.300049,1917,1917,31073305
15-07-2020,1937.949951,1978.800049,1798,1844,1844,64457578
16-07-2020,1847,1869,1812.449951,1843.400024,1843.400024,28133826
17-07-2020,1845,1920,1838,1911.699951,1911.699951,22948894
20-07-2020,1917.800049,1932,1899.650024,1919.900024,1919.900024,16887635
21-07-2020,1939,1977,1936.5,1971.550049,1971.550049,19463004
22-07-2020,1983,2010,1960.699951,2004,2004,27584518
23-07-2020,2003.949951,2079.699951,1991.349976,2057.800049,2057.800049,26921017
24-07-2020,2058,2163,2057.800049,2146.149902,2146.149902,55655668
27-07-2020,2178.800049,2198.800049,2127.899902,2156.199951,2156.199951,37060665
28-07-2020,2156.199951,2194,2150.649902,2177.699951,2177.699951,25435297
29-07-2020,2177.899902,2182.800049,2070.449951,2096.649902,2096.649902,33534147
30-07-2020,2099,2139.699951,2072,2108.850098,2108.850098,33623699
31-07-2020,2114.5,2129,2052.800049,2067.100098,2067.100098,34593133
03-08-2020,2051.300049,2057,2003.099976,2009,2009,21559142
04-08-2020,2020.599976,2167,2000.25,2150.600098,2150.600098,42476932
05-08-2020,2169,2196,2118.300049,2126.449951,2126.449951,34404810
06-08-2020,2157,2167.699951,2107.800049,2134.100098,2134.100098,22762545
07-08-2020,2129.800049,2157.800049,2120.199951,2146.449951,2146.449951,15222303
10-08-2020,2159.100098,2165,2108.100098,2119.850098,2119.850098,12441573
11-08-2020,2134.800049,2160,2100.350098,2133.800049,2133.800049,21611256
12-08-2020,2121,2145,2106.800049,2127.600098,2127.600098,13967116
13-08-2020,2128,2138.899902,2110,2122.050049,2122.050049,11459190
14-08-2020,2122.550049,2157,2089.25,2113.800049,2113.800049,15333164
17-08-2020,2105,2105,2070.100098,2091.350098,2091.350098,14296834
18-08-2020,2085,2134.300049,2082.350098,2118.550049,2118.550049,14097746
19-08-2020,2141,2154,2121.350098,2131.550049,2131.550049,15731396
20-08-2020,2120,2123.899902,2088,2097.050049,2097.050049,10401212
21-08-2020,2118,2122,2077,2081.850098,2081.850098,11667129
24-08-2020,2091.399902,2104.5,2070.5,2095.75,2095.75,15098991
25-08-2020,2106,2111.300049,2078,2082.100098,2082.100098,8947563
26-08-2020,2085,2147.949951,2047,2137.300049,2137.300049,27630190
27-08-2020,2148,2150,2103.25,2110.600098,2110.600098,12961252
28-08-2020,2120,2132.899902,2106.25,2116.149902,2116.149902,12537520
31-08-2020,2174,2174,2060.350098,2080.699951,2080.699951,28648125
01-09-2020,2100,2122.399902,2062.399902,2087.25,2087.25,17821397
02-09-2020,2092,2138,2085,2128.199951,2128.199951,12437162
03-09-2020,2128,2138.75,2103,2112.100098,2112.100098,8577634
04-09-2020,2083.550049,2096.949951,2072.199951,2077.25,2077.25,13141644
07-09-2020,2084,2105.75,2044.25,2082.649902,2082.649902,10119064
08-09-2020,2092,2121,2080.5,2107.100098,2107.100098,12643749
09-09-2020,2085,2167.800049,2081.449951,2161.350098,2161.350098,25525961
10-09-2020,2183.100098,2344.949951,2175.350098,2314,2314,64750460
11-09-2020,2312,2337.850098,2287.100098,2319.75,2319.75,27445768
14-09-2020,2325,2360,2282,2302.550049,2302.550049,20335273
15-09-2020,2311.949951,2325.75,2288.149902,2318.850098,2318.850098,12542824
16-09-2020,2320,2369.350098,2310.550049,2324.550049,2324.550049,15668979
17-09-2020,2320,2333.699951,2291.850098,2298.75,2298.75,11919927
18-09-2020,2314.25,2319.449951,2276.550049,2305.699951,2305.699951,15264068
21-09-2020,2300,2336,2247.350098,2255.850098,2255.850098,15519031
22-09-2020,2277,2277,2201.550049,2211.149902,2211.149902,16056620
23-09-2020,2260,2276.75,2205.300049,2230.800049,2230.800049,19839282
24-09-2020,2207.899902,2226,2176.050049,2181.199951,2181.199951,13764841
25-09-2020,2189,2212.800049,2167.300049,2201.699951,2201.699951,13095028
28-09-2020,2227,2238,2207.050049,2216.25,2216.25,9076248
29-09-2020,2225,2264,2216.25,2245.050049,2245.050049,11926328
30-09-2020,2260,2267,2225,2234.350098,2234.350098,11290667
01-10-2020,2263.800049,2263.800049,2214,2225.25,2225.25,9591456
05-10-2020,2244,2249.149902,2206,2212.199951,2212.199951,8732869
06-10-2020,2225.25,2233.899902,2201.649902,2210.350098,2210.350098,8497216
07-10-2020,2235,2309,2220,2257.5,2257.5,24538346
